,ricebought,cleanyard,housetype,nearstable,own_hhappliance,housesqm,own_vehicles,own_receivables,outerwall,numroom,own_jewelry,floor,ipercap,own_fininstrument_7,own_fininstrument_14
1281,0.0,1.0,4.0,3.0,1.0,125.0,3.0,3.0,1.0,6.0,3.0,3.0,10800000.0,3.0,3.0
1283,0.0,3.0,3.0,1.0,1.0,84.0,1.0,3.0,1.0,7.0,1.0,3.0,1250000.0,3.0,3.0
1284,30.0,1.0,3.0,3.0,1.0,50.0,1.0,3.0,1.0,8.0,3.0,3.0,514285.71428571426,3.0,3.0
1285,0.0,3.0,1.0,3.0,1.0,63.0,3.0,3.0,2.0,3.0,3.0,4.0,24500000.0,3.0,3.0
1286,0.0,3.0,1.0,3.0,1.0,184.0,3.0,3.0,1.0,12.0,1.0,1.0,4200000.0,3.0,3.0
1288,0.0,1.0,1.0,3.0,1.0,184.0,1.0,1.0,1.0,12.0,1.0,1.0,6000000.0,3.0,1.0
1289,0.0,1.0,1.0,3.0,1.0,84.0,3.0,3.0,1.0,7.0,1.0,3.0,520000.0,3.0,3.0
1290,0.0,1.0,1.0,3.0,1.0,96.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0
1291,0.0,1.0,1.0,3.0,1.0,112.0,1.0,3.0,1.0,11.0,1.0,3.0,5166666.666666667,1.0,1.0
1293,11.0,3.0,1.0,3.0,1.0,35.0,1.0,3.0,2.0,6.0,3.0,3.0,3600000.0,3.0,3.0
1294,0.0,3.0,3.0,3.0,1.0,50.0,3.0,3.0,1.0,4.0,1.0,3.0,2400000.0,3.0,3.0
1295,3.0,3.0,3.0,3.0,1.0,40.0,1.0,3.0,1.0,2.0,1.0,3.0,6400000.0,3.0,3.0
1296,30.0,3.0,3.0,3.0,1.0,27.0,1.0,3.0,1.0,3.0,3.0,3.0,5600000.0,3.0,3.0
1297,0.0,1.0,1.0,3.0,1.0,105.0,1.0,3.0,1.0,6.0,1.0,3.0,488888.8888888889,3.0,3.0
1298,0.0,1.0,6.0,3.0,1.0,80.0,3.0,3.0,1.0,3.0,3.0,1.0,18000000.0,3.0,1.0
1300,7.0,1.0,2.0,3.0,1.0,10.0,1.0,3.0,2.0,2.0,1.0,6.0,1020000.0,3.0,3.0
1301,0.0,1.0,1.0,3.0,1.0,91.0,1.0,3.0,2.0,7.0,1.0,1.0,1733333.3333333333,3.0,1.0
1303,8.0,1.0,2.0,3.0,1.0,56.0,1.0,3.0,1.0,7.0,3.0,1.0,48000000.0,3.0,1.0
1304,0.0,3.0,4.0,3.0,1.0,138.0,3.0,3.0,1.0,6.0,1.0,3.0,14781818.181818182,3.0,3.0
1305,0.0,3.0,3.0,3.0,1.0,85.0,3.0,3.0,1.0,5.0,1.0,3.0,5200000.0,1.0,3.0
1306,0.0,3.0,3.0,3.0,1.0,60.0,3.0,3.0,1.0,3.0,1.0,1.0,16200000.0,3.0,3.0
1307,0.0,3.0,3.0,3.0,1.0,75.0,1.0,3.0,1.0,5.0,1.0,3.0,7000000.0,1.0,3.0
1309,30.0,1.0,2.0,3.0,1.0,460.0,1.0,3.0,1.0,22.0,1.0,3.0,6983333.333333333,1.0,3.0
1310,0.0,1.0,1.0,3.0,3.0,67.0,1.0,3.0,1.0,7.0,1.0,3.0,2944444.4444444445,3.0,3.0
1311,0.0,1.0,1.0,3.0,1.0,140.0,1.0,3.0,1.0,9.0,1.0,1.0,20000000.0,3.0,1.0
1313,40.0,1.0,2.0,3.0,1.0,260.0,1.0,1.0,1.0,25.0,1.0,1.0,18000000.0,1.0,1.0
1314,2.7,1.0,1.0,3.0,3.0,30.0,3.0,3.0,1.0,3.0,3.0,3.0,1800000.0,3.0,3.0
1315,0.0,1.0,1.0,3.0,1.0,72.0,1.0,3.0,1.0,6.0,1.0,2.0,7500000.0,3.0,1.0
1316,0.0,1.0,1.0,3.0,1.0,108.0,1.0,3.0,1.0,11.0,1.0,1.0,257142.85714285713,3.0,3.0
1319,25.0,1.0,1.0,3.0,1.0,108.0,1.0,3.0,1.0,6.0,3.0,3.0,1810000.0,3.0,3.0
1320,0.0,1.0,1.0,3.0,1.0,100.0,3.0,3.0,2.0,8.0,1.0,4.0,9600000.0,3.0,3.0
1322,13.0,1.0,1.0,1.0,3.0,112.0,1.0,3.0,1.0,6.0,1.0,1.0,525000.0,3.0,3.0
1326,0.0,1.0,1.0,3.0,1.0,170.0,3.0,3.0,2.0,5.0,1.0,3.0,10200000.0,1.0,3.0
1327,0.0,1.0,3.0,1.0,1.0,84.0,1.0,3.0,1.0,6.0,1.0,3.0,1250000.0,3.0,3.0
1329,0.0,1.0,1.0,3.0,1.0,48.0,1.0,3.0,1.0,6.0,1.0,3.0,1740000.0,3.0,3.0
1330,7.0,1.0,1.0,3.0,1.0,75.0,1.0,3.0,1.0,6.0,3.0,3.0,4800000.0,3.0,1.0
1331,0.0,1.0,6.0,3.0,1.0,78.0,1.0,3.0,1.0,4.0,3.0,2.0,12600000.0,3.0,1.0
1332,11.0,1.0,1.0,3.0,1.0,120.0,1.0,3.0,1.0,8.0,1.0,3.0,933333.3333333334,3.0,3.0
1333,8.0,1.0,5.0,3.0,1.0,48.0,3.0,1.0,1.0,6.0,1.0,1.0,225000.0,1.0,1.0
1334,20.0,1.0,1.0,3.0,1.0,80.0,1.0,3.0,1.0,6.0,3.0,3.0,2571428.5714285714,3.0,3.0
1336,10.0,1.0,3.0,3.0,1.0,32.0,1.0,3.0,1.0,4.0,3.0,3.0,2500000.0,3.0,3.0
1337,0.0,1.0,2.0,3.0,1.0,32.0,1.0,1.0,1.0,4.0,1.0,3.0,2800000.0,1.0,3.0
1339,40.0,1.0,8.0,1.0,1.0,50.0,3.0,3.0,2.0,6.0,3.0,4.0,2580000.0,3.0,3.0
1341,4.0,1.0,1.0,3.0,1.0,72.0,1.0,3.0,1.0,6.0,1.0,3.0,9000000.0,3.0,1.0
1344,9.0,3.0,1.0,3.0,1.0,28.0,1.0,3.0,1.0,4.0,3.0,1.0,900000.0,3.0,3.0
1345,0.0,1.0,1.0,3.0,1.0,72.0,3.0,3.0,2.0,4.0,1.0,3.0,1800000.0,3.0,3.0
1346,10.5,3.0,1.0,3.0,1.0,45.0,3.0,3.0,2.0,4.0,3.0,4.0,4200000.0,3.0,1.0
1347,15.0,3.0,5.0,3.0,1.0,18.0,1.0,1.0,2.0,3.0,1.0,3.0,2600000.0,3.0,3.0
1348,7.5,3.0,1.0,3.0,1.0,108.0,1.0,3.0,2.0,5.0,3.0,3.0,1600000.0,3.0,3.0
1349,0.0,1.0,1.0,3.0,1.0,48.0,1.0,1.0,1.0,5.0,1.0,3.0,0.0,1.0,1.0
1352,0.0,1.0,100.0,1.0,1.0,20.0,3.0,3.0,1.0,3.0,1.0,1.0,24000000.0,3.0,1.0
1353,7.0,1.0,1.0,3.0,1.0,100.0,1.0,3.0,2.0,4.0,1.0,4.0,3230769.230769231,3.0,3.0
1354,0.0,1.0,1.0,3.0,1.0,30.0,1.0,3.0,1.0,5.0,1.0,3.0,7200000.0,3.0,3.0
1355,0.0,1.0,5.0,3.0,1.0,30.0,1.0,3.0,1.0,6.0,3.0,3.0,7200000.0,3.0,1.0
1357,10.5,1.0,1.0,3.0,1.0,72.0,1.0,3.0,1.0,5.0,1.0,1.0,3750000.0,3.0,3.0
1360,10.5,3.0,1.0,3.0,1.0,64.0,3.0,3.0,1.0,4.0,3.0,3.0,737500.0,3.0,3.0
1361,10.5,1.0,1.0,3.0,1.0,75.0,1.0,3.0,2.0,5.0,3.0,3.0,320000.0,3.0,3.0
1362,20.0,1.0,1.0,3.0,1.0,20.0,3.0,1.0,2.0,4.0,3.0,4.0,4000000.0,3.0,3.0
1363,0.0,1.0,1.0,3.0,1.0,59.0,1.0,3.0,1.0,6.0,1.0,3.0,2000000.0,3.0,3.0
1365,0.0,1.0,2.0,3.0,1.0,60.0,1.0,3.0,1.0,7.0,1.0,3.0,5181818.181818182,1.0,1.0
1366,0.0,1.0,1.0,3.0,1.0,91.0,3.0,1.0,1.0,6.0,1.0,3.0,8800000.0,3.0,3.0
1367,7.5,3.0,1.0,1.0,1.0,63.0,3.0,3.0,1.0,5.0,3.0,3.0,2217000.0,3.0,3.0
1368,0.0,1.0,1.0,3.0,1.0,32.0,3.0,3.0,1.0,5.0,1.0,3.0,2000000.0,3.0,3.0
1371,10.0,1.0,1.0,3.0,1.0,70.0,3.0,3.0,2.0,6.0,1.0,3.0,2160000.0,3.0,3.0
1372,0.0,1.0,1.0,3.0,1.0,90.0,1.0,3.0,1.0,7.0,3.0,3.0,6666666.666666667,3.0,3.0
1373,0.0,1.0,1.0,3.0,3.0,60.0,1.0,3.0,1.0,7.0,1.0,1.0,0.0,3.0,1.0
1375,10.5,1.0,1.0,3.0,1.0,54.0,1.0,3.0,1.0,6.0,3.0,3.0,3075000.0,3.0,3.0
1376,0.0,1.0,1.0,3.0,1.0,400.0,1.0,3.0,1.0,8.0,3.0,3.0,833333.3333333334,3.0,3.0
1377,0.0,1.0,1.0,3.0,1.0,100.0,1.0,3.0,1.0,5.0,3.0,3.0,1600000.0,3.0,3.0
1380,7.5,3.0,1.0,3.0,1.0,30.0,1.0,3.0,2.0,4.0,1.0,4.0,5475000.0,3.0,3.0
1384,9.0,1.0,3.0,3.0,1.0,39.0,1.0,1.0,1.0,4.0,1.0,3.0,2250000.0,1.0,3.0
1385,0.0,1.0,1.0,3.0,1.0,35.0,1.0,3.0,2.0,7.0,1.0,1.0,2400000.0,1.0,1.0
1386,25.0,1.0,1.0,3.0,1.0,32.0,1.0,3.0,1.0,5.0,1.0,3.0,3085714.285714286,3.0,3.0
1387,3.0,1.0,2.0,1.0,1.0,96.0,1.0,3.0,1.0,5.0,1.0,2.0,11600000.0,3.0,3.0
1388,4.0,3.0,1.0,3.0,1.0,60.0,3.0,3.0,1.0,5.0,1.0,3.0,4900000.0,3.0,3.0
1390,0.0,3.0,1.0,3.0,1.0,70.0,1.0,3.0,1.0,5.0,3.0,3.0,6108333.333333333,3.0,1.0
1391,0.0,1.0,1.0,3.0,1.0,96.0,1.0,3.0,1.0,6.0,1.0,3.0,2886153.846153846,1.0,1.0
1392,0.0,1.0,1.0,3.0,1.0,300.0,1.0,3.0,1.0,8.0,3.0,1.0,12000000.0,3.0,1.0
1394,0.0,1.0,1.0,3.0,1.0,21.0,1.0,1.0,1.0,4.0,1.0,3.0,2137500.0,3.0,1.0
1395,0.0,1.0,1.0,3.0,1.0,54.0,3.0,3.0,1.0,7.0,1.0,3.0,1069230.7692307692,3.0,3.0
1396,6.0,3.0,2.0,1.0,1.0,32.0,1.0,3.0,2.0,4.0,1.0,4.0,3600000.0,3.0,1.0
1397,6.0,1.0,1.0,3.0,3.0,88.0,1.0,3.0,1.0,7.0,1.0,3.0,3150000.0,3.0,3.0
1398,12.0,1.0,1.0,1.0,1.0,54.0,1.0,3.0,1.0,6.0,3.0,1.0,2291666.6666666665,3.0,3.0
1399,10.5,1.0,1.0,3.0,1.0,45.0,3.0,3.0,1.0,5.0,3.0,3.0,2240000.0,3.0,3.0
1400,0.0,1.0,1.0,1.0,1.0,108.0,3.0,3.0,1.0,5.0,1.0,3.0,6500000.0,3.0,3.0
1401,3.0,1.0,3.0,3.0,1.0,28.0,3.0,3.0,2.0,2.0,1.0,3.0,3200000.0,3.0,1.0
1402,6.0,1.0,1.0,1.0,1.0,63.0,1.0,1.0,1.0,7.0,3.0,4.0,2133333.3333333335,1.0,3.0
1403,5.0,1.0,1.0,3.0,1.0,21.0,3.0,3.0,1.0,3.0,3.0,1.0,2400000.0,3.0,1.0
1404,7.5,1.0,1.0,3.0,1.0,72.0,1.0,3.0,1.0,6.0,1.0,1.0,2850000.0,3.0,3.0
1405,29.0,1.0,3.0,3.0,1.0,40.0,3.0,3.0,1.0,4.0,1.0,3.0,1545000.0,3.0,1.0
1406,8.0,1.0,2.0,1.0,1.0,21.0,3.0,3.0,2.0,5.0,1.0,3.0,1000000.0,3.0,3.0
1407,7.5,1.0,1.0,3.0,1.0,63.0,3.0,3.0,1.0,6.0,3.0,3.0,900000.0,3.0,3.0
1408,0.0,3.0,1.0,3.0,1.0,80.0,3.0,3.0,1.0,5.0,3.0,3.0,7560000.0,3.0,3.0
1409,6.0,1.0,3.0,3.0,1.0,12.0,1.0,3.0,1.0,3.0,1.0,3.0,3675000.0,3.0,3.0
1410,6.0,1.0,1.0,3.0,1.0,63.0,3.0,3.0,1.0,5.0,1.0,3.0,1000000.0,3.0,3.0
1411,8.0,1.0,1.0,3.0,1.0,30.0,3.0,3.0,1.0,3.0,1.0,3.0,1080000.0,3.0,3.0
1413,2.0,3.0,1.0,3.0,1.0,25.0,3.0,3.0,2.0,3.0,3.0,4.0,1200000.0,3.0,3.0
1414,7.5,1.0,1.0,3.0,1.0,150.0,1.0,3.0,2.0,5.0,1.0,3.0,4133333.3333333335,3.0,3.0
1415,0.0,1.0,1.0,3.0,1.0,72.0,1.0,1.0,2.0,6.0,3.0,3.0,1483333.3333333333,3.0,3.0
1416,0.0,1.0,1.0,3.0,1.0,30.0,3.0,3.0,2.0,4.0,3.0,3.0,1600000.0,3.0,3.0
1419,7.5,1.0,1.0,3.0,1.0,120.0,1.0,3.0,1.0,6.0,1.0,3.0,12000000.0,1.0,3.0
1421,11.0,1.0,1.0,1.0,1.0,112.0,1.0,3.0,1.0,7.0,1.0,1.0,8640000.0,1.0,3.0
1422,3.0,3.0,1.0,3.0,1.0,54.0,1.0,3.0,1.0,5.0,3.0,3.0,9000000.0,3.0,1.0
1423,0.0,1.0,1.0,3.0,1.0,160.0,3.0,3.0,1.0,5.0,3.0,3.0,6000000.0,1.0,3.0
1424,0.0,1.0,1.0,3.0,1.0,45.0,1.0,1.0,2.0,6.0,3.0,3.0,3240000.0,3.0,3.0
1425,6.4,1.0,1.0,3.0,1.0,45.0,1.0,3.0,2.0,4.0,1.0,3.0,4000000.0,3.0,1.0
1426,10.5,1.0,1.0,3.0,1.0,24.0,1.0,3.0,2.0,4.0,3.0,3.0,4533333.333333333,3.0,3.0
1427,8.0,1.0,1.0,3.0,1.0,63.0,1.0,3.0,1.0,5.0,3.0,3.0,4362500.0,3.0,3.0
1430,0.0,1.0,1.0,3.0,1.0,152.0,1.0,3.0,1.0,10.0,3.0,2.0,2800000.0,3.0,1.0
1431,0.0,3.0,1.0,3.0,1.0,9.0,1.0,1.0,1.0,1.0,3.0,1.0,31000000.0,1.0,1.0
1432,0.0,1.0,4.0,3.0,1.0,100.0,1.0,3.0,1.0,5.0,1.0,2.0,2190000.0,3.0,3.0
1433,30.0,3.0,1.0,1.0,1.0,200.0,1.0,3.0,2.0,6.0,1.0,3.0,2100000.0,3.0,3.0
1435,1.6,1.0,1.0,1.0,1.0,35.0,1.0,3.0,2.0,5.0,1.0,3.0,304166.6666666667,3.0,3.0
1436,0.0,1.0,1.0,3.0,1.0,48.0,1.0,1.0,1.0,5.0,1.0,3.0,2320000.0,3.0,1.0
1437,5.25,1.0,1.0,3.0,1.0,16.0,1.0,3.0,2.0,4.0,1.0,3.0,5333333.333333333,3.0,1.0
1439,0.0,1.0,1.0,3.0,1.0,162.0,1.0,3.0,1.0,10.0,3.0,3.0,0.0,3.0,1.0
1442,0.0,1.0,2.0,3.0,1.0,300.0,1.0,3.0,1.0,14.0,1.0,1.0,0.0,3.0,1.0
1443,0.0,1.0,1.0,3.0,1.0,24.0,1.0,3.0,2.0,4.0,1.0,3.0,2857142.8571428573,3.0,3.0
1444,0.0,1.0,3.0,3.0,1.0,144.0,1.0,3.0,1.0,9.0,1.0,3.0,1950000.0,3.0,3.0
1445,0.0,1.0,1.0,3.0,1.0,120.0,1.0,3.0,1.0,4.0,3.0,3.0,1920000.0,3.0,3.0
1446,0.0,1.0,1.0,3.0,1.0,60.0,1.0,1.0,1.0,8.0,1.0,2.0,1920000.0,1.0,3.0
1447,0.0,1.0,5.0,3.0,1.0,400.0,1.0,3.0,1.0,5.0,1.0,1.0,5100000.0,1.0,1.0
1449,21.0,1.0,1.0,3.0,1.0,100.0,3.0,3.0,1.0,6.0,3.0,3.0,1435000.0,3.0,3.0
1450,0.0,1.0,1.0,3.0,1.0,16.0,1.0,3.0,2.0,1.0,1.0,4.0,2340000.0,3.0,1.0
1451,11.2,1.0,1.0,1.0,1.0,450.0,1.0,3.0,1.0,7.0,1.0,3.0,86666.66666666667,3.0,3.0
1452,0.0,1.0,1.0,3.0,1.0,30.0,1.0,3.0,2.0,6.0,1.0,3.0,1200000.0,3.0,3.0
1453,10.5,1.0,5.0,1.0,1.0,154.0,1.0,3.0,1.0,7.0,3.0,3.0,6000000.0,3.0,3.0
1454,7.5,3.0,2.0,3.0,1.0,12.0,3.0,3.0,1.0,5.0,3.0,3.0,523000.0,3.0,3.0
1455,2.4,1.0,3.0,3.0,1.0,36.0,3.0,3.0,1.0,4.0,3.0,3.0,1371428.5714285714,3.0,3.0
1456,50.0,1.0,1.0,3.0,1.0,300.0,1.0,3.0,2.0,6.0,1.0,1.0,2666666.6666666665,1.0,1.0
1457,0.0,1.0,1.0,3.0,1.0,56.0,3.0,1.0,1.0,6.0,1.0,3.0,3600000.0,3.0,1.0
1458,7.5,1.0,1.0,3.0,1.0,250.0,1.0,3.0,1.0,5.0,1.0,1.0,7200000.0,1.0,3.0
1459,15.0,3.0,1.0,3.0,1.0,108.0,3.0,3.0,1.0,4.0,3.0,3.0,1800000.0,3.0,3.0
1461,0.0,1.0,1.0,3.0,1.0,37.0,3.0,3.0,1.0,5.0,1.0,3.0,2685714.285714286,3.0,3.0
1462,0.0,1.0,2.0,3.0,1.0,54.0,1.0,3.0,1.0,9.0,3.0,1.0,1440000.0,3.0,3.0
1463,21.0,3.0,1.0,3.0,1.0,70.0,1.0,3.0,1.0,7.0,3.0,3.0,2250000.0,3.0,3.0
1464,8.0,1.0,1.0,3.0,1.0,72.0,1.0,3.0,1.0,7.0,1.0,3.0,1000000.0,3.0,1.0
1465,1.5,1.0,1.0,3.0,1.0,56.0,3.0,3.0,1.0,6.0,3.0,2.0,3640000.0,3.0,3.0
1466,7.5,3.0,1.0,3.0,1.0,70.0,3.0,3.0,1.0,6.0,3.0,3.0,2000000.0,3.0,3.0
1467,1.6,1.0,1.0,3.0,1.0,30.0,1.0,3.0,1.0,5.0,1.0,3.0,800000.0,3.0,3.0
1468,6.4,1.0,2.0,3.0,1.0,90.0,3.0,1.0,1.0,5.0,1.0,3.0,6000000.0,3.0,1.0
1469,4.0,3.0,1.0,1.0,1.0,71.0,1.0,3.0,1.0,3.0,3.0,3.0,1800000.0,3.0,3.0
1470,8.0,1.0,1.0,3.0,1.0,100.0,3.0,3.0,1.0,5.0,3.0,3.0,2400000.0,3.0,1.0
1471,10.5,1.0,1.0,3.0,1.0,135.0,1.0,3.0,1.0,7.0,3.0,3.0,1418181.8181818181,3.0,3.0
1472,30.0,1.0,1.0,3.0,1.0,234.0,1.0,3.0,1.0,12.0,1.0,1.0,2333333.3333333335,1.0,3.0
1475,0.0,1.0,3.0,1.0,1.0,72.0,1.0,3.0,1.0,6.0,1.0,3.0,9646800.0,3.0,3.0
1476,8.0,3.0,1.0,3.0,1.0,144.0,1.0,1.0,1.0,11.0,1.0,3.0,7266666.666666667,3.0,1.0
1477,0.0,1.0,1.0,3.0,1.0,121.0,1.0,3.0,1.0,11.0,1.0,1.0,13537500.0,1.0,1.0
1478,0.0,1.0,1.0,3.0,1.0,280.0,1.0,3.0,1.0,11.0,1.0,1.0,250000.0,1.0,1.0
1481,10.5,1.0,1.0,3.0,1.0,90.0,1.0,3.0,1.0,9.0,1.0,3.0,5566666.666666667,3.0,1.0
1483,0.0,1.0,1.0,3.0,1.0,84.0,3.0,3.0,1.0,8.0,1.0,2.0,3527272.727272727,1.0,3.0
1484,0.0,1.0,1.0,3.0,1.0,90.0,3.0,3.0,1.0,8.0,1.0,2.0,3733333.3333333335,3.0,3.0
1485,0.0,1.0,1.0,3.0,1.0,80.0,1.0,3.0,1.0,10.0,1.0,1.0,10000000.0,1.0,1.0
1486,1.5,1.0,1.0,3.0,1.0,18.0,1.0,3.0,1.0,4.0,1.0,1.0,5000000.0,3.0,1.0
1487,0.0,1.0,2.0,3.0,1.0,120.0,3.0,1.0,1.0,8.0,3.0,3.0,4800000.0,1.0,1.0
1488,11.2,1.0,1.0,3.0,1.0,72.0,1.0,3.0,1.0,7.0,1.0,3.0,3650000.0,3.0,3.0
1489,15.0,1.0,1.0,3.0,1.0,56.0,3.0,3.0,1.0,5.0,1.0,3.0,2000000.0,1.0,3.0
1490,18.0,1.0,1.0,3.0,1.0,35.0,1.0,3.0,1.0,7.0,1.0,3.0,1200000.0,3.0,3.0
1491,0.0,1.0,1.0,3.0,1.0,70.0,1.0,3.0,1.0,7.0,1.0,3.0,6600000.0,3.0,3.0
1492,8.0,3.0,1.0,3.0,1.0,60.0,1.0,3.0,1.0,3.0,1.0,3.0,2360000.0,1.0,1.0
1493,45.0,1.0,1.0,3.0,1.0,56.0,1.0,3.0,1.0,6.0,1.0,3.0,1200000.0,3.0,3.0
1494,112.0,1.0,1.0,1.0,1.0,119.0,1.0,3.0,1.0,12.0,1.0,1.0,1445000.0,1.0,3.0
1495,7.0,1.0,2.0,3.0,1.0,170.0,1.0,1.0,1.0,6.0,1.0,3.0,4933333.333333333,3.0,1.0
1497,0.0,1.0,1.0,1.0,3.0,39.0,1.0,3.0,1.0,5.0,1.0,1.0,8600000.0,1.0,3.0
1498,4.8,1.0,1.0,3.0,1.0,105.0,3.0,3.0,1.0,4.0,1.0,1.0,1283333.3333333333,3.0,3.0
1500,5.0,3.0,1.0,3.0,1.0,300.0,1.0,3.0,1.0,5.0,3.0,3.0,2700000.0,3.0,3.0
1501,12.0,3.0,1.0,3.0,1.0,101.0,3.0,3.0,1.0,7.0,1.0,3.0,450000.0,3.0,3.0
1502,32.0,1.0,1.0,1.0,1.0,81.0,3.0,3.0,1.0,9.0,1.0,3.0,2614285.714285714,3.0,3.0
1503,0.0,1.0,2.0,3.0,1.0,24.0,3.0,3.0,1.0,4.0,1.0,3.0,4500000.0,3.0,3.0
1504,12.0,1.0,1.0,3.0,1.0,84.0,3.0,3.0,1.0,9.0,1.0,3.0,11333333.333333334,3.0,3.0
1505,0.0,1.0,5.0,3.0,1.0,90.0,1.0,3.0,1.0,8.0,3.0,2.0,6400000.0,3.0,1.0
1506,12.0,1.0,1.0,3.0,3.0,44.0,3.0,3.0,1.0,6.0,1.0,3.0,0.0,3.0,3.0
1507,8.0,3.0,1.0,3.0,1.0,99.0,3.0,3.0,1.0,7.0,1.0,1.0,0.0,1.0,1.0
1508,0.0,1.0,1.0,3.0,1.0,70.0,1.0,3.0,1.0,1.0,1.0,3.0,3200000.0,3.0,3.0
1510,0.0,3.0,1.0,3.0,1.0,300.0,1.0,3.0,1.0,8.0,1.0,1.0,10833333.333333334,3.0,1.0
1511,0.0,3.0,5.0,3.0,1.0,12.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0
1512,4.0,1.0,1.0,3.0,1.0,80.0,1.0,3.0,1.0,8.0,1.0,1.0,7440000.0,3.0,3.0
1513,6.0,1.0,1.0,3.0,1.0,27.0,3.0,3.0,2.0,4.0,1.0,3.0,3157500.0,3.0,3.0
1514,24.0,1.0,2.0,1.0,1.0,48.0,1.0,3.0,2.0,8.0,1.0,4.0,1600000.0,3.0,3.0
1515,24.0,1.0,3.0,3.0,1.0,180.0,3.0,3.0,1.0,9.0,1.0,1.0,3750000.0,1.0,3.0
1516,0.0,1.0,2.0,3.0,1.0,48.0,3.0,3.0,1.0,6.0,1.0,2.0,12000000.0,1.0,1.0
1517,0.0,1.0,1.0,3.0,1.0,21.0,1.0,3.0,1.0,4.0,1.0,1.0,12000000.0,1.0,1.0
1518,0.0,1.0,1.0,3.0,1.0,120.0,3.0,3.0,1.0,7.0,1.0,2.0,4200000.0,3.0,1.0
1521,0.0,1.0,1.0,3.0,1.0,40.0,3.0,3.0,2.0,4.0,3.0,2.0,6000000.0,3.0,3.0
1522,10.0,1.0,3.0,3.0,1.0,90.0,1.0,1.0,1.0,6.0,1.0,1.0,6350000.0,1.0,1.0
1523,3.0,3.0,1.0,3.0,1.0,25.0,1.0,3.0,2.0,5.0,1.0,4.0,5400000.0,3.0,1.0
1524,0.0,1.0,1.0,3.0,1.0,65.0,1.0,3.0,1.0,7.0,1.0,2.0,6000000.0,1.0,1.0
1525,16.0,1.0,4.0,3.0,1.0,24.0,3.0,1.0,1.0,5.0,1.0,1.0,2400000.0,1.0,3.0
1526,7.0,1.0,1.0,3.0,1.0,63.0,1.0,3.0,1.0,5.0,3.0,3.0,1900000.0,3.0,1.0
1527,7.0,1.0,1.0,3.0,1.0,400.0,1.0,1.0,1.0,10.0,1.0,1.0,2400000.0,3.0,3.0
1528,36.0,1.0,1.0,3.0,1.0,100.0,1.0,3.0,1.0,15.0,1.0,1.0,9666666.666666666,3.0,1.0
1529,0.0,1.0,1.0,3.0,1.0,16.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0,1.0,1.0
1531,5.0,1.0,1.0,3.0,1.0,63.0,1.0,3.0,1.0,6.0,1.0,3.0,26875000.0,1.0,3.0
1532,12.0,1.0,1.0,3.0,1.0,60.0,3.0,3.0,1.0,6.0,3.0,3.0,0.0,3.0,3.0
1533,11.2,3.0,1.0,3.0,1.0,60.0,3.0,3.0,1.0,5.0,1.0,3.0,875000.0,3.0,3.0
1534,8.0,1.0,1.0,3.0,1.0,130.0,1.0,3.0,1.0,5.0,3.0,1.0,5400000.0,3.0,1.0
1535,0.0,3.0,1.0,3.0,1.0,42.0,1.0,3.0,1.0,5.0,3.0,3.0,0.0,1.0,3.0
1536,4.0,1.0,1.0,3.0,1.0,36.0,1.0,3.0,2.0,4.0,1.0,3.0,1600000.0,3.0,1.0
1537,8.0,1.0,1.0,1.0,1.0,54.0,1.0,3.0,2.0,6.0,1.0,3.0,2820000.0,3.0,3.0
1538,0.0,3.0,1.0,3.0,1.0,189.0,3.0,3.0,1.0,12.0,1.0,1.0,4800000.0,1.0,1.0
1539,0.0,1.0,1.0,3.0,1.0,84.0,3.0,3.0,1.0,8.0,1.0,1.0,125000.0,1.0,1.0
1540,0.0,3.0,1.0,1.0,1.0,88.0,3.0,3.0,2.0,3.0,1.0,4.0,1666666.6666666667,3.0,3.0
1541,0.0,1.0,2.0,3.0,1.0,16.0,3.0,1.0,1.0,1.0,1.0,3.0,12000000.0,1.0,1.0
1543,0.0,3.0,1.0,3.0,1.0,54.0,1.0,3.0,1.0,9.0,3.0,2.0,9970800.0,1.0,1.0
1544,0.0,3.0,1.0,3.0,1.0,20.0,3.0,1.0,1.0,4.0,3.0,3.0,0.0,1.0,1.0
1546,0.0,1.0,3.0,3.0,1.0,40.0,1.0,3.0,2.0,6.0,1.0,3.0,7320000.0,3.0,1.0
1548,6.0,1.0,2.0,3.0,1.0,144.0,1.0,1.0,1.0,8.0,1.0,1.0,7050000.0,3.0,1.0
1549,16.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,4.0,1.0,3.0,1000000.0,3.0,3.0
1550,20.0,1.0,1.0,3.0,1.0,72.0,3.0,3.0,1.0,9.0,3.0,3.0,2450000.0,3.0,3.0
1553,4.0,1.0,1.0,3.0,1.0,36.0,1.0,3.0,1.0,6.0,3.0,3.0,5000000.0,3.0,3.0
1554,2.0,1.0,1.0,3.0,1.0,12.0,3.0,3.0,2.0,2.0,1.0,3.0,5333333.333333333,3.0,1.0
1556,20.0,1.0,1.0,3.0,1.0,165.0,3.0,3.0,1.0,9.0,1.0,3.0,1714285.7142857143,3.0,3.0
