,ricebought,cleanyard,housetype,nearstable,own_hhappliance,housesqm,own_vehicles,own_receivables,outerwall,numroom,own_jewelry,floor,ipercap,own_fininstrument_7,own_fininstrument_14
1734,0.0,1.0,1.0,3.0,1.0,121.0,1.0,3.0,1.0,3.0,1.0,1.0,11882857.142857144,1.0,1.0
1736,0.0,1.0,1.0,1.0,1.0,54.0,1.0,3.0,2.0,5.0,1.0,6.0,550000.0,3.0,3.0
1737,0.0,1.0,1.0,3.0,1.0,36.0,3.0,3.0,2.0,3.0,3.0,3.0,1900000.0,3.0,3.0
1738,5.0,3.0,1.0,1.0,3.0,108.0,3.0,3.0,2.0,4.0,3.0,6.0,1275000.0,1.0,3.0
1739,7.0,1.0,1.0,1.0,1.0,72.0,3.0,3.0,1.0,6.0,3.0,3.0,1270750.0,3.0,3.0
1741,0.0,1.0,1.0,1.0,3.0,66.0,3.0,3.0,1.0,6.0,1.0,2.0,3358000.0,3.0,3.0
1742,10.0,1.0,1.0,1.0,3.0,72.0,3.0,3.0,2.0,3.0,3.0,2.0,720000.0,3.0,3.0
1743,0.0,1.0,1.0,1.0,1.0,99.0,1.0,3.0,1.0,5.0,1.0,3.0,4700000.0,3.0,3.0
1744,0.0,1.0,3.0,1.0,1.0,150.0,1.0,1.0,1.0,13.0,3.0,3.0,21150000.0,3.0,3.0
1745,0.0,1.0,1.0,3.0,1.0,72.0,1.0,1.0,1.0,8.0,1.0,3.0,3796666.6666666665,1.0,1.0
1746,0.0,1.0,1.0,1.0,3.0,45.0,1.0,3.0,1.0,2.0,1.0,2.0,2108333.3333333335,3.0,3.0
1747,8.0,1.0,1.0,3.0,1.0,72.0,3.0,1.0,1.0,6.0,1.0,6.0,6406750.0,3.0,3.0
1748,0.0,1.0,1.0,1.0,1.0,60.0,1.0,1.0,1.0,7.0,3.0,3.0,4342857.142857143,3.0,3.0
1749,7.0,3.0,1.0,1.0,1.0,45.0,3.0,3.0,2.0,4.0,3.0,3.0,2158333.3333333335,3.0,3.0
1750,5.0,3.0,1.0,3.0,3.0,30.0,1.0,3.0,2.0,3.0,1.0,6.0,933333.3333333334,3.0,1.0
1751,10.0,3.0,1.0,1.0,1.0,28.0,1.0,3.0,2.0,2.0,3.0,3.0,12500000.0,1.0,3.0
1752,0.0,1.0,1.0,1.0,1.0,36.0,3.0,3.0,2.0,4.0,1.0,3.0,6000000.0,3.0,1.0
1753,8.0,1.0,1.0,3.0,1.0,50.0,1.0,1.0,2.0,4.0,3.0,3.0,6220000.0,3.0,3.0
1754,5.0,1.0,1.0,3.0,3.0,63.0,1.0,3.0,2.0,5.0,3.0,6.0,1243333.3333333333,3.0,3.0
1755,0.0,3.0,1.0,1.0,1.0,66.0,1.0,3.0,1.0,6.0,3.0,1.0,2355833.3333333335,1.0,3.0
1756,15.0,3.0,1.0,1.0,1.0,35.0,1.0,1.0,2.0,5.0,3.0,3.0,5170000.0,3.0,3.0
1757,0.0,3.0,2.0,1.0,1.0,24.0,1.0,1.0,2.0,4.0,3.0,6.0,3001437.5,1.0,1.0
1758,0.0,1.0,1.0,1.0,1.0,72.0,3.0,1.0,1.0,5.0,1.0,3.0,2418250.0,3.0,3.0
1759,0.0,3.0,1.0,1.0,1.0,72.0,1.0,3.0,2.0,4.0,3.0,6.0,116666.66666666667,3.0,3.0
1760,5.0,1.0,1.0,1.0,1.0,72.0,1.0,3.0,2.0,5.0,1.0,6.0,614666.6666666666,3.0,3.0
1761,10.0,3.0,1.0,1.0,3.0,108.0,3.0,3.0,2.0,3.0,3.0,6.0,150000.0,3.0,3.0
1762,0.0,3.0,1.0,1.0,1.0,72.0,1.0,3.0,2.0,4.0,3.0,3.0,12000000.0,3.0,3.0
1763,0.0,3.0,1.0,1.0,1.0,99.0,1.0,3.0,1.0,4.0,1.0,3.0,1681000.0,3.0,3.0
1764,0.0,1.0,1.0,1.0,1.0,72.0,1.0,3.0,1.0,8.0,3.0,3.0,1970000.0,3.0,3.0
1765,0.0,3.0,1.0,1.0,1.0,72.0,1.0,3.0,1.0,5.0,1.0,2.0,2574615.3846153845,3.0,3.0
1766,6.0,3.0,1.0,1.0,1.0,105.0,3.0,3.0,1.0,7.0,3.0,3.0,2400000.0,3.0,3.0
1767,0.0,1.0,1.0,1.0,1.0,80.0,3.0,3.0,1.0,6.0,3.0,3.0,2480000.0,3.0,3.0
1769,0.0,3.0,1.0,3.0,1.0,120.0,1.0,1.0,1.0,6.0,3.0,3.0,2900000.0,1.0,3.0
1771,0.0,3.0,1.0,3.0,1.0,60.0,1.0,3.0,3.0,4.0,1.0,6.0,4640000.0,3.0,3.0
1772,20.0,1.0,1.0,1.0,3.0,144.0,1.0,3.0,1.0,8.0,3.0,6.0,625333.3333333334,3.0,3.0
1773,20.0,1.0,1.0,1.0,1.0,54.0,1.0,1.0,2.0,3.0,1.0,3.0,800000.0,3.0,3.0
1774,5.0,3.0,1.0,3.0,3.0,63.0,1.0,3.0,2.0,3.0,1.0,3.0,2292000.0,3.0,3.0
1775,16.0,1.0,1.0,3.0,1.0,12.0,3.0,3.0,1.0,2.0,3.0,1.0,14400000.0,3.0,3.0
