,housetype,waste,trash,stagnantwater,nearstable,ventilation,cleanyard,mediumyard,kitchenoutside,sharebedkitch,numroom,floor,outerwall,roof,hhid07,housesqm,own_house,own_otherbuilding,own_land,own_livestock,own_poultry,own_tanamankeras,own_vehicles,own_hhappliance,own_fininstrument_7,own_receivables,own_jewelry,own_furniture,own_others,ricebought,ipercap,hhid14,own_fininstrument_14
9805,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,1.0,1.0,4.0,2392132,63.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,7.0,5550000.0,2392132,3.0
9806,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,7.0,6.0,1.0,4.0,2392200,72.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,7.0,800000.0,2392200,3.0
9807,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,7.0,1.0,1.0,4.0,2392241,100.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,10.5,2516666.6666666665,2392241,3.0
9809,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,4.0,2392400,63.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,3700000.0,2392400,3.0
9810,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,7.0,2.0,1.0,4.0,2392500,88.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,14.0,6203200.0,2392500,3.0
9811,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,6.0,3.0,4.0,2392600,56.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,55555.555555555555,2392600,3.0
9812,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0,1.0,4.0,2392641,81.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,7.0,5237500.0,2392641,1.0
9813,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,5.0,2392700,90.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,6040000.0,2392700,3.0
9815,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,2.0,1.0,4.0,2392800,81.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,800000.0,2392800,3.0
9816,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,6.0,1.0,4.0,2392841,60.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,0.0,3332000.0,2392841,3.0
