,housetype,waste,trash,stagnantwater,nearstable,ventilation,cleanyard,mediumyard,kitchenoutside,sharebedkitch,numroom,floor,outerwall,roof,housesqm,own_house,own_otherbuilding,own_land,own_livestock,own_poultry,own_tanamankeras,own_vehicles,own_hhappliance,own_fininstrument_7,own_receivables,own_jewelry,own_others,ricebought,ipercap,own_fininstrument_14
8829,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,2.0,1.0,4.0,72.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3000000.0,3.0
8833,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,1.0,4.0,300.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,10.0,71428.57142857143,3.0
8834,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,3.0
8835,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,15.0,1.0,1.0,4.0,190.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,11285714.285714285,1.0
8838,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,1.0,1.0,4.0,115.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,8000000.0,1.0
8839,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,4.0,36.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,0.0,1.0
8840,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,8.0,1.0,1.0,4.0,110.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,208333.33333333334,3.0
8841,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,4.0,56.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,9000000.0,1.0
8842,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,7.0,1.0,1.0,4.0,90.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,2775000.0,1.0
8843,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,10.0,2.0,1.0,4.0,400.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,20.0,6666666.666666667,1.0
8844,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,4.0,140.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,4000000.0,3.0
8845,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,10.0,2.0,1.0,4.0,90.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0
8846,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,4.0,50.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,7940000.0,1.0
8847,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,2.0,1.0,4.0,400.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,18500000.0,1.0
8849,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,6.0,2.0,1.0,4.0,49.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,10462500.0,1.0
8851,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,2.0,1.0,4.0,75.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,6.0,8640000.0,3.0
8852,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,2.0,1.0,4.0,77.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,10.0,3200000.0,3.0
8853,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,10.0,1.0,1.0,4.0,120.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,1042500.0,1.0
8855,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,1.0,1.0,4.0,70.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,4500000.0,3.0
8856,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,6.0,1.0,1.0,4.0,28.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,4312500.0,1.0
8858,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,4.0,15.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,5.0,3100000.0,1.0
8860,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,9.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,10.0,275000.0,3.0
8861,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,4.0,63.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,1217142.857142857,3.0
8862,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,1.0,1.0,4.0,18.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,10.0,2666666.6666666665,3.0
8863,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,4.0,50.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,0.0,3.0
8864,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,4.0,15.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,1200000.0,3.0
8866,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,1.0,4.0,32.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2000000.0,1.0
8868,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,96.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,0.0,3.0
8869,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,1.0,3.0,56.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,1500000.0,3.0
8871,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,50.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,10.0,1601600.0,3.0
8872,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,9.0,1.0,1.0,3.0,90.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,9.0,8037500.0,3.0
8873,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,4.0,150.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,6428571.428571428,1.0
8874,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,8.0,1.0,1.0,4.0,168.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,3000000.0,3.0
8877,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,6.0,1.0,1.0,4.0,149.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,7.0,7440000.0,1.0
8878,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,10.0,2.0,1.0,4.0,450.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,0.0,3.0
8880,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,2.0,1.0,4.0,45.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,1320000.0,3.0
8881,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,4.0,90.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,10.0,3540000.0,3.0
8882,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,6.0,3.0,1.0,4.0,108.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,10.0,2700000.0,3.0
8883,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,11.0,2.0,1.0,4.0,72.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,600000.0,1.0
8885,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,2.0,1.0,4.0,72.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,1680000.0,3.0
8887,1.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,7.0,6.0,1.0,4.0,28.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,360000.0,1.0
8888,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,72.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,20.0,2762500.0,1.0
8889,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0,3.0,250.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,35.0,6171428.571428572,3.0
8890,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,100.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1.0
8892,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,1.0,4.0,75.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,10.0,1500000.0,3.0
8893,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,72.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,0.0,3.0
8895,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0,3.0,1.0,4.0,45.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,222222.22222222222,3.0
8896,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,4.0,40.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,7.0,8000000.0,3.0
8897,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,8.0,2.0,1.0,4.0,120.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,5200000.0,3.0
8900,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,8.0,2.0,1.0,4.0,80.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,8.4,3400000.0,3.0
8901,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,36.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,436363.63636363635,3.0
8902,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,2.0,1.0,4.0,100.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.5,2520000.0,3.0
8903,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,4.0,49.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,7.0,7500000.0,1.0
8904,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,7.0,3.0,1.0,4.0,72.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2285714.285714286,3.0
8905,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,2.0,4.0,50.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,3000000.0,3.0
8906,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,1.0,4.0,72.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,5.0,1333333.3333333333,1.0
8907,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,4.0,45.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,600000.0,3.0
8908,1.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,3.0,1.0,4.0,45.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,440000.0,3.0
8909,6.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0
8910,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,5.0,300.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,10500000.0,1.0
8913,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,66.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,6950000.0,3.0
8914,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,7.0,1.0,1.0,4.0,60.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,10.0,10500000.0,1.0
8915,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,7.0,1.0,1.0,4.0,66.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,600000.0,3.0
8916,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,10.0,2.0,1.0,4.0,66.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,7.0,4750000.0,3.0
8917,2.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,7.0,3.0,1.0,4.0,120.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,860000.0,3.0
8918,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,6.0,2.0,4.0,81.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,660000.0,3.0
8919,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,5.0,3.0,1.0,4.0,55.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,320000.0,3.0
8920,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,2.0,1.0,4.0,54.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,10.0,333333.3333333333,3.0
8921,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,4.0,66.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,3.0
8922,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,4.0,90.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,375000.0,3.0
8923,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,4.0,100.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,10.0,5333333.333333333,3.0
8924,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,5.0,2.0,1.0,4.0,60.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,4800000.0,1.0
8925,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,9.0,2.0,1.0,5.0,756.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,10400000.0,3.0
8926,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,9.0,1.0,1.0,4.0,98.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,1200000.0,1.0
8927,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,4.0,72.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,1666666.6666666667,1.0
8929,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,2.0,1.0,4.0,100.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,7.0,1700000.0,3.0
8930,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,4.0,100.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,7.0,866666.6666666666,3.0
8931,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,8.0,1.0,1.0,4.0,100.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,1200000.0,3.0
8932,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,9.0,1.0,1.0,4.0,108.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,10333333.333333334,1.0
8933,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,6.0,3.0,4.0,49.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,166666.66666666666,3.0
8934,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,7.0,1.0,1.0,5.0,420.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,7.0,200000.0,3.0
8935,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,1.0,4.0,72.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,1100000.0,3.0
8936,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,6.0,3.0,1.0,4.0,60.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,0.0,1250000.0,3.0
8937,3.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,10.0,2.0,1.0,4.0,123.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,10.0,5100000.0,3.0
8938,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,7.0,3.0,1.0,4.0,210.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,687500.0,3.0
8940,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,6.0,1.0,1.0,4.0,140.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,2100000.0,1.0
8941,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,8.0,1.0,1.0,4.0,66.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,7375000.0,3.0
8942,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,9.0,1.0,1.0,4.0,54.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0
8943,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,4.0,90.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,7.0,3987500.0,3.0
8944,2.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,4.0,30.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,4730000.0,1.0
8945,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,5.0,2.0,1.0,5.0,280.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,1740000.0,3.0
8946,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,1.0,4.0,60.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,2100000.0,3.0
8947,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,6.0,3.0,1.0,4.0,140.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,2700000.0,3.0
8949,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,3.0,1.0,4.0,90.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,583333.3333333334,3.0
8951,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,7.0,1.0,1.0,4.0,50.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,10.0,214285.7142857143,3.0
8952,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,7.0,3.0,1.0,4.0,55.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,0.0,1250000.0,3.0
8953,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,10.0,2.0,1.0,4.0,60.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,8.0,1000000.0,3.0
8954,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,5.0,2.0,1.0,4.0,48.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,150000.0,3.0
8955,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,5.0,2.0,1.0,4.0,60.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,7.0,800000.0,3.0
8957,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,6.0,3.0,4.0,40.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,0.0,1200000.0,3.0
8958,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,8.0,3.0,1.0,4.0,60.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,7.0,2000000.0,3.0
8959,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,9.0,6.0,1.0,4.0,55.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,10.0,7433333.333333333,3.0
8960,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,8.0,3.0,1.0,4.0,50.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,0.0,6425000.0,3.0
8961,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,7.0,1.0,1.0,4.0,102.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,6.0,1133333.3333333333,3.0
8962,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,6.0,1.0,4.0,40.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,4766666.666666667,3.0
8963,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,2.0,4.0,80.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,7.0,1125000.0,3.0
8964,1.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,4.0,72.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,1250000.0,3.0
8965,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,6.0,2.0,1.0,4.0,78.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,10.0,938888.8888888889,3.0
8967,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,10.0,1.0,1.0,4.0,140.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,50.0,888888.8888888889,3.0
8971,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,60.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,0.0,1766666.6666666667,3.0
